Assessor Neighborhood,Assessed Land Value,Closed Roll Year
Bayview Heights,139407.96,2010
Bernal Heights,220154.3,2010
Buena Vista Park,401270.1,2010
Central Richmond,270760.81,2010
Central Sunset,231694.29,2010
Clarendon Heights,433242.01,2010
Corona Heights,338444.62,2010
Cow Hollow,511956.44,2010
Croker Amazon,160064.22,2010
Diamond Heights,223258.8,2010
Downtown,334514.25,2010
Duboce Triangle,428566.88,2010
Eureka Valley/Dolores Heights,385126.48,2010
Excelsior,159672.21,2010
Financial District North,3586261.66,2010
Financial District South,1242563.17,2010
Forest Hill,366116.14,2010
Forest Hill Extension,279838.18,2010
Forest Knolls,317105.13,2010
Glen Park,270315.26,2010
Golden Gate Heights,245102.97,2010
Haight Ashbury,335199.88,2010
Hayes Valley,361103.69,2010
Hunters Point,172047.36,2010
Ingleside,156702.11,2010
Ingleside Heights,171375.5,2010
Ingleside Terrace,266893.78,2010
Inner Mission,288617.15,2010
Inner Parkside,246238.33,2010
Inner Richmond,306209.47,2010
Inner Sunset,262581.12,2010
Jordan Park/Laurel Heights,444982.12,2010
Lake --The Presidio,393346.17,2010
Lake Shore,308142.32,2010
Lakeside,276278.61,2010
Lone Mountain,284241.26,2010
Lower Pacific Heights,355503.08,2010
Marina,510889.51,2010
Merced Heights,159253.38,2010
Merced Manor,296794.98,2010
Midtown Terrace,219231.61,2010
Miraloma Park,246630.28,2010
Mission Bay,693428.79,2010
Mission Dolores,322162.69,2010
Mission Terrace,179774.67,2010
Monterey Heights,426595.62,2010
Mount Davidson Manor,260163.49,2010
Nob Hill,427523.71,2010
Noe Valley,345398.42,2010
North Beach,356840.89,2010
North Waterfront,734617.96,2010
Oceanview,168846.56,2010
Outer Mission,156160.6,2010
Outer Parkside,189219.34,2010
Outer Richmond,242923.52,2010
Outer Sunset,201543.47,2010
Pacific Heights,713056.96,2010
Park North,345554.79,2010
Parkside,207819.33,2010
Parnassus/Ashbury Heights,402069.69,2010
Pine Lake Park,251391.86,2010
Portola,156705.71,2010
Potrero Hill,300785.59,2010
Presidio Heights,987963.93,2010
Russian Hill,322715.01,2010
Sea Cliff,888094.77,2010
Sherwood Forest,323167.99,2010
Silver Terrace,129203.81,2010
South Beach,739828.53,2010
South of Market,566661.27,2010
St. Francis Wood,574521.27,2010
Stonestown,2184518.56,2010
Sunnyside,197144.07,2010
Telegraph Hill,430090.53,2010
Twin Peaks,296460.17,2010
Union Square,711735.0,2010
Van Ness/ Civic Center,306300.71,2010
Visitacion Valley,140067.1,2010
West Portal,310061.32,2010
Western Addition,342646.65,2010
Westwood Highlands,295258.03,2010
Westwood Park,225447.72,2010
Yerba Buena,184776.83,2010
Alamo Square,425384.56,2011
Anza Vista,362450.26,2011
Balboa Terrace,393022.9,2011
Bayview,224548.1,2011
Bayview Heights,140004.23,2011
Bernal Heights,228865.78,2011
Buena Vista Park,422857.42,2011
Central Richmond,278255.26,2011
Central Sunset,242241.72,2011
Clarendon Heights,456422.87,2011
Corona Heights,342979.05,2011
Cow Hollow,518223.26,2011
Croker Amazon,168466.08,2011
Diamond Heights,232622.33,2011
Downtown,339773.11,2011
Duboce Triangle,442492.52,2011
Eureka Valley/Dolores Heights,398960.09,2011
Excelsior,169683.12,2011
Financial District North,3566222.63,2011
Financial District South,1270051.41,2011
Forest Hill,381578.41,2011
Forest Hill Extension,291988.18,2011
Forest Knolls,333460.06,2011
Glen Park,278990.88,2011
Golden Gate Heights,254303.98,2011
Haight Ashbury,349530.71,2011
Hayes Valley,372836.37,2011
Hunters Point,162523.09,2011
Ingleside,161518.36,2011
Ingleside Heights,163219.45,2011
Ingleside Terrace,275703.45,2011
