Neighborhood,Year,Home Price,Annual Rent,City,Lat,Lng
Lake,2014,464123.52,64645,San Francisco,37.7226724,-122.4948384
Lake,2015,492922.73,77554,San Francisco,37.7226724,-122.4948384
Lake,2016,525258.77,80636,San Francisco,37.7226724,-122.4948384
Lakeshore,2012,336250.24,34822,San Francisco,37.7233167,-122.4886792
Lakeshore,2013,344243.17,37181,San Francisco,37.7233167,-122.4886792
Lakeshore,2014,358644.49,42678,San Francisco,37.7233167,-122.4886792
Lakeshore,2015,383652.27,49551,San Francisco,37.7233167,-122.4886792
Lakeshore,2016,405115.56,54499,San Francisco,37.7233167,-122.4886792
Laurel Heights,2011,454561.26,53096,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2012,485665.34,52995,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2013,508941.63,58366,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2014,528762.84,65464,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2015,568872.29,83258,San Francisco,37.7850214,-122.45097009999999
Laurel Heights,2016,604172.49,86230,San Francisco,37.7850214,-122.45097009999999
Lone Mountain,2011,294906.83,40284,San Francisco,37.7938181,-122.4644162
Lone Mountain,2012,302922.16,42581,San Francisco,37.7938181,-122.4644162
Lone Mountain,2013,316340.92,45762,San Francisco,37.7938181,-122.4644162
Lone Mountain,2014,329790.62,50898,San Francisco,37.7938181,-122.4644162
Lone Mountain,2015,357248.3,59236,San Francisco,37.7938181,-122.4644162
Lone Mountain,2016,382272.37,63177,San Francisco,37.7938181,-122.4644162
Lower Pacific Heights,2011,363644.66,35917,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2012,387242.36,39761,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2013,405723.49,43776,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2014,432758.58,48677,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2015,464476.04,56145,San Francisco,37.786997,-122.43681509999999
Lower Pacific Heights,2016,467876.81,54229,San Francisco,37.786997,-122.43681509999999
Marina,2011,522087.53,51035,San Francisco,37.8036667,-122.43681509999999
Marina,2012,551994.84,52040,San Francisco,37.8036667,-122.43681509999999
Marina,2013,575636.18,58240,San Francisco,37.8036667,-122.43681509999999
Marina,2014,605052.69,63926,San Francisco,37.8036667,-122.43681509999999
Marina,2015,646166.92,77660,San Francisco,37.8036667,-122.43681509999999
Marina,2016,682746.05,79339,San Francisco,37.8036667,-122.43681509999999
Midtown Terrace,2011,233368.42,35627,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2012,244991.57,37669,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2013,258931.24,39682,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2014,264509.43,44805,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2015,281078.97,52528,San Francisco,37.75080139999999,-122.4538009
Midtown Terrace,2016,301071.06,53875,San Francisco,37.75080139999999,-122.4538009
Miraloma Park,2011,255138.6,37254,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2012,266743.22,36974,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2013,277421.58,38700,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2014,289635.11,44368,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2015,310667.5,52094,San Francisco,37.7403241,-122.44477749999999
Miraloma Park,2016,340174.76,54622,San Francisco,37.7403241,-122.44477749999999
Mission,2011,332193.75,36022,San Francisco,37.759864799999995,-122.4147977
Mission,2012,350268.41,40006,San Francisco,37.759864799999995,-122.4147977
Mission,2013,356998.36,43726,San Francisco,37.759864799999995,-122.4147977
Mission,2014,367443.79,48227,San Francisco,37.759864799999995,-122.4147977
Mission,2015,378397.83,56321,San Francisco,37.759864799999995,-122.4147977
Mission,2016,412155.6,55704,San Francisco,37.759864799999995,-122.4147977
Mission Bay,2011,604300.25,40279,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2012,674416.18,43564,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2013,699480.22,50659,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2014,715110.84,54253,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2015,721135.32,61977,San Francisco,37.7730963,-122.39292250000001
Mission Bay,2016,787160.11,61331,San Francisco,37.7730963,-122.39292250000001
Mission Terrace,2011,188918.27,32045,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2012,199253.63,31446,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2013,202730.81,33452,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2014,214961.87,37844,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2015,228188.06,46263,San Francisco,37.7245693,-122.44335729999999
Mission Terrace,2016,245679.1,50034,San Francisco,37.7245693,-122.44335729999999
Mount Davidson Manor,2011,269055.29,36736,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2012,277229.43,36010,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2013,287712.97,37598,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2014,310353.12,44049,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2015,328636.86,53196,San Francisco,37.7283105,-122.4630004
Mount Davidson Manor,2016,347610.47,56955,San Francisco,37.7283105,-122.4630004
Nob Hill,2011,435408.84,42413,San Francisco,37.793014,-122.416113
Nob Hill,2012,466587.29,44622,San Francisco,37.793014,-122.416113
Nob Hill,2013,492819.94,48324,San Francisco,37.793014,-122.416113
Nob Hill,2014,487947.68,51749,San Francisco,37.793014,-122.416113
Nob Hill,2015,546256.23,62760,San Francisco,37.793014,-122.416113
Nob Hill,2016,586126.28,64219,San Francisco,37.793014,-122.416113
Noe Valley,2011,364676.21,44162,San Francisco,37.750237799999994,-122.43370290000001
Noe Valley,2012,384978.46,44754,San Francisco,37.750237799999994,-122.43370290000001
Noe Valley,2013,408274.71,49995,San Francisco,37.750237799999994,-122.43370290000001
Noe Valley,2014,426430.86,53547,San Francisco,37.750237799999994,-122.43370290000001
Noe Valley,2015,459559.78,64871,San Francisco,37.750237799999994,-122.43370290000001
Noe Valley,2016,498960.25,67293,San Francisco,37.750237799999994,-122.43370290000001
North Beach,2011,352989.81,37995,San Francisco,37.8060532,-122.4103311
North Beach,2012,375693.36,41975,San Francisco,37.8060532,-122.4103311
North Beach,2013,406872.94,47594,San Francisco,37.8060532,-122.4103311
North Beach,2014,422114.18,49460,San Francisco,37.8060532,-122.4103311
North Beach,2015,446399.67,58693,San Francisco,37.8060532,-122.4103311
North Beach,2016,463071.91,57787,San Francisco,37.8060532,-122.4103311
North Waterfront,2011,867270.21,34702,San Francisco,37.7993601,-122.39738500000001
North Waterfront,2012,791237.89,38590,San Francisco,37.7993601,-122.39738500000001
North Waterfront,2013,840680.37,44866,San Francisco,37.7993601,-122.39738500000001
North Waterfront,2014,898735.47,45927,San Francisco,37.7993601,-122.39738500000001
North Waterfront,2015,953461.65,52775,San Francisco,37.7993601,-122.39738500000001
North Waterfront,2016,1007685.77,53171,San Francisco,37.7993601,-122.39738500000001
Oceanview,2011,176591.45,30397,San Francisco,37.714182799999996,-122.4566316
Oceanview,2012,175341.38,29645,San Francisco,37.714182799999996,-122.4566316
Oceanview,2013,177657.86,31425,San Francisco,37.714182799999996,-122.4566316
Oceanview,2014,196400.36,36191,San Francisco,37.714182799999996,-122.4566316
Oceanview,2015,211261.21,42631,San Francisco,37.714182799999996,-122.4566316
Oceanview,2016,219116.43,46151,San Francisco,37.714182799999996,-122.4566316
Outer Mission,2011,174518.42,30807,San Francisco,37.71567770000001,-122.44579109999998
Outer Mission,2012,168127.78,29746,San Francisco,37.71567770000001,-122.44579109999998
Outer Mission,2013,171285.49,32378,San Francisco,37.71567770000001,-122.44579109999998
Outer Mission,2014,181897.07,35883,San Francisco,37.71567770000001,-122.44579109999998
Outer Mission,2015,196490.75,43435,San Francisco,37.71567770000001,-122.44579109999998
Outer Mission,2016,211233.89,46788,San Francisco,37.71567770000001,-122.44579109999998
Outer Richmond,2011,253223.89,33598,San Francisco,37.777677000000004,-122.49531
Outer Richmond,2012,263672.17,35080,San Francisco,37.777677000000004,-122.49531
Outer Richmond,2013,275531.74,37893,San Francisco,37.777677000000004,-122.49531
Outer Richmond,2014,290373.72,44089,San Francisco,37.777677000000004,-122.49531
Outer Richmond,2015,307594.6,49632,San Francisco,37.777677000000004,-122.49531
Outer Richmond,2016,328192.75,53234,San Francisco,37.777677000000004,-122.49531
Outer Sunset,2011,210995.78,31582,San Francisco,37.7467314,-122.4863492
Outer Sunset,2012,214753.95,32118,San Francisco,37.7467314,-122.4863492
Outer Sunset,2013,220932.82,35341,San Francisco,37.7467314,-122.4863492
Outer Sunset,2014,235402.89,40952,San Francisco,37.7467314,-122.4863492
Outer Sunset,2015,248604.45,46329,San Francisco,37.7467314,-122.4863492
Outer Sunset,2016,262113.11,49051,San Francisco,37.7467314,-122.4863492
Pacific Heights,2011,738431.55,52744,San Francisco,37.7925153,-122.4382307
Pacific Heights,2012,792592.64,52688,San Francisco,37.7925153,-122.4382307
Pacific Heights,2013,852976.26,55809,San Francisco,37.7925153,-122.4382307
Pacific Heights,2014,901497.22,60294,San Francisco,37.7925153,-122.4382307
Pacific Heights,2015,956476.88,76171,San Francisco,37.7925153,-122.4382307
Pacific Heights,2016,987893.56,77006,San Francisco,37.7925153,-122.4382307
Parkside,2011,217655.79,33088,San Francisco,37.733048,-122.4785669
Parkside,2012,227681.82,33713,San Francisco,37.733048,-122.4785669
Parkside,2013,231496.79,36523,San Francisco,37.733048,-122.4785669
Parkside,2014,246075.58,41617,San Francisco,37.733048,-122.4785669
Parkside,2015,262055.85,47293,San Francisco,37.733048,-122.4785669
Parkside,2016,275542.71,50989,San Francisco,37.733048,-122.4785669
Portola,2011,167100.04,31881,San Francisco,37.7297408,-122.4099154
Portola,2012,173653.94,30348,San Francisco,37.7297408,-122.4099154
Portola,2013,177071.85,32281,San Francisco,37.7297408,-122.4099154
Portola,2014,189498.64,36471,San Francisco,37.7297408,-122.4099154
Portola,2015,206163.97,44678,San Francisco,37.7297408,-122.4099154
Portola,2016,219848.72,48789,San Francisco,37.7297408,-122.4099154
Potrero Hill,2011,291831.76,36907,San Francisco,37.7604929,-122.400869
Potrero Hill,2012,341400.18,39975,San Francisco,37.7604929,-122.400869
Potrero Hill,2013,361447.08,43740,San Francisco,37.7604929,-122.400869
Potrero Hill,2014,372428.4,48146,San Francisco,37.7604929,-122.400869
Potrero Hill,2015,428737.16,57273,San Francisco,37.7604929,-122.400869
Potrero Hill,2016,461504.52,57852,San Francisco,37.7604929,-122.400869
Presidio Heights,2011,1038974.8,127688,San Francisco,37.7889125,-122.4538009
Presidio Heights,2012,1092905.9,123665,San Francisco,37.7889125,-122.4538009
Presidio Heights,2013,1179676.28,139274,San Francisco,37.7889125,-122.4538009
Presidio Heights,2014,1241499.11,151423,San Francisco,37.7889125,-122.4538009
Presidio Heights,2015,1321622.24,177832,San Francisco,37.7889125,-122.4538009
Presidio Heights,2016,1397364.25,193510,San Francisco,37.7889125,-122.4538009
Russian Hill,2011,333741.91,44766,San Francisco,37.8010963,-122.4195558
Russian Hill,2012,352595.92,46269,San Francisco,37.8010963,-122.4195558
Russian Hill,2013,374482.09,51547,San Francisco,37.8010963,-122.4195558
Russian Hill,2014,397200.01,55759,San Francisco,37.8010963,-122.4195558
Russian Hill,2015,422653.26,65678,San Francisco,37.8010963,-122.4195558
Russian Hill,2016,452017.91,66790,San Francisco,37.8010963,-122.4195558
Seacliff,2011,939279.71,101636,San Francisco,37.785940999999994,-122.4907
Seacliff,2012,992049.91,95365,San Francisco,37.785940999999994,-122.4907
Seacliff,2013,1057670.33,108971,San Francisco,37.785940999999994,-122.4907
Seacliff,2014,1110278.74,118992,San Francisco,37.785940999999994,-122.4907
Seacliff,2015,1188811.17,150193,San Francisco,37.785940999999994,-122.4907
Seacliff,2016,1265560.92,160275,San Francisco,37.785940999999994,-122.4907
Silver Terrace,2011,136227.09,30945,San Francisco,37.7332209,-122.3985871
Silver Terrace,2012,141235.42,29512,San Francisco,37.7332209,-122.3985871
Silver Terrace,2013,145892.12,31076,San Francisco,37.7332209,-122.3985871
Silver Terrace,2014,156108.9,36568,San Francisco,37.7332209,-122.3985871
Silver Terrace,2015,172165.39,43563,San Francisco,37.7332209,-122.3985871
Silver Terrace,2016,180875.19,46207,San Francisco,37.7332209,-122.3985871
South Beach,2011,746173.03,39710,San Francisco,37.7835826,-122.38990659999999
South Beach,2012,766689.3,41019,San Francisco,37.7835826,-122.38990659999999
South Beach,2013,810870.51,47255,San Francisco,37.7835826,-122.38990659999999
South Beach,2014,856342.58,51133,San Francisco,37.7835826,-122.38990659999999
South Beach,2015,881493.13,58609,San Francisco,37.7835826,-122.38990659999999
South Beach,2016,851302.53,57475,San Francisco,37.7835826,-122.38990659999999
South of Market,2011,573793.12,34134,San Francisco,37.7785189,-122.4056395
South of Market,2012,598292.01,37410,San Francisco,37.7785189,-122.4056395
South of Market,2013,635932.49,40589,San Francisco,37.7785189,-122.4056395
South of Market,2014,678027.14,45420,San Francisco,37.7785189,-122.4056395
South of Market,2015,718875.01,51266,San Francisco,37.7785189,-122.4056395
South of Market,2016,773699.75,50702,San Francisco,37.7785189,-122.4056395
St. Francis Wood,2011,600297.2,69361,San Francisco,37.7377845,-122.46512320000001
St. Francis Wood,2012,625627.25,65532,San Francisco,37.7377845,-122.46512320000001
St. Francis Wood,2013,646705.53,68816,San Francisco,37.7377845,-122.46512320000001
St. Francis Wood,2014,686724.75,72159,San Francisco,37.7377845,-122.46512320000001
St. Francis Wood,2015,719641.98,94538,San Francisco,37.7377845,-122.46512320000001
St. Francis Wood,2016,776783.94,105237,San Francisco,37.7377845,-122.46512320000001
Stonestown,2012,2245683.78,37921,San Francisco,37.7282649,-122.4794164
Stonestown,2013,2310281.2,39094,San Francisco,37.7282649,-122.4794164
Stonestown,2014,1693961.09,44954,San Francisco,37.7282649,-122.4794164
Stonestown,2015,1446393.82,55618,San Francisco,37.7282649,-122.4794164
Stonestown,2016,1553429.62,59743,San Francisco,37.7282649,-122.4794164
Sunnyside,2011,204617.6,32209,San Francisco,37.7299104,-122.44428880000001
Sunnyside,2012,216828.88,32308,San Francisco,37.7299104,-122.44428880000001
Sunnyside,2013,219875.82,35156,San Francisco,37.7299104,-122.44428880000001
Sunnyside,2014,232861.3,39570,San Francisco,37.7299104,-122.44428880000001
Sunnyside,2015,254771.76,46798,San Francisco,37.7299104,-122.44428880000001
Sunnyside,2016,271672.85,50422,San Francisco,37.7299104,-122.44428880000001
Telegraph Hill,2011,442675.5,39437,San Francisco,37.8013407,-122.40566740000001
Telegraph Hill,2012,464993.85,42125,San Francisco,37.8013407,-122.40566740000001
Telegraph Hill,2013,482132.02,46954,San Francisco,37.8013407,-122.40566740000001
Telegraph Hill,2014,504693.28,49743,San Francisco,37.8013407,-122.40566740000001
Telegraph Hill,2015,530908.27,58743,San Francisco,37.8013407,-122.40566740000001
Telegraph Hill,2016,561042.42,57462,San Francisco,37.8013407,-122.40566740000001
Twin Peaks,2011,304505.2,39640,San Francisco,37.7525098,-122.4475683
Twin Peaks,2012,319378.85,39891,San Francisco,37.7525098,-122.4475683
Twin Peaks,2013,345300.06,41426,San Francisco,37.7525098,-122.4475683
Twin Peaks,2014,362257.6,45785,San Francisco,37.7525098,-122.4475683
Twin Peaks,2015,390306.47,54840,San Francisco,37.7525098,-122.4475683
Twin Peaks,2016,406010.93,62134,San Francisco,37.7525098,-122.4475683
Visitacion Valley,2011,145537.01,29865,San Francisco,37.717175399999995,-122.40425139999999
Visitacion Valley,2012,148580.24,28593,San Francisco,37.717175399999995,-122.40425139999999
Visitacion Valley,2013,155854.13,31176,San Francisco,37.717175399999995,-122.40425139999999
Visitacion Valley,2014,165360.87,34997,San Francisco,37.717175399999995,-122.40425139999999
Visitacion Valley,2015,175324.85,41458,San Francisco,37.717175399999995,-122.40425139999999
Visitacion Valley,2016,187287.21,44562,San Francisco,37.717175399999995,-122.40425139999999
Western Addition,2011,344112.74,34341,San Francisco,37.7822112,-122.4341781
Western Addition,2012,353161.26,37841,San Francisco,37.7822112,-122.4341781
Western Addition,2013,357961.34,43551,San Francisco,37.7822112,-122.4341781
Western Addition,2014,372800.76,47975,San Francisco,37.7822112,-122.4341781
Western Addition,2015,400849.67,54058,San Francisco,37.7822112,-122.4341781
Western Addition,2016,418485.93,54934,San Francisco,37.7822112,-122.4341781
Westwood Highlands,2011,310131.0,38955,San Francisco,37.7332501,-122.4566316
Westwood Highlands,2012,320309.28,38086,San Francisco,37.7332501,-122.4566316
Westwood Highlands,2013,329153.0,37890,San Francisco,37.7332501,-122.4566316
Westwood Highlands,2014,344339.63,45668,San Francisco,37.7332501,-122.4566316
Westwood Highlands,2015,369263.39,56137,San Francisco,37.7332501,-122.4566316
Westwood Highlands,2016,386926.32,58110,San Francisco,37.7332501,-122.4566316
Westwood Park,2011,232168.28,33709,San Francisco,37.7261005,-122.4566316
Westwood Park,2012,248945.33,34381,San Francisco,37.7261005,-122.4566316
Westwood Park,2013,254389.3,35900,San Francisco,37.7261005,-122.4566316
Westwood Park,2014,272476.96,43402,San Francisco,37.7261005,-122.4566316
Westwood Park,2015,287522.18,50441,San Francisco,37.7261005,-122.4566316
Westwood Park,2016,315942.5,53177,San Francisco,37.7261005,-122.4566316
